YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,25,7,HA,394,N476HA,LIH,HNL,1349.0,1345.0,-4.0,6.0,1351.0,34.0,35.0,21.0,102.0,1412.0,8.0,1423.0,1420.0,-3.0,0.0,0.0,,,,,,
2015,1,27,2,WN,496,N201LV,DAL,BNA,1605.0,1604.0,-1.0,10.0,1614.0,100.0,97.0,83.0,623.0,1737.0,4.0,1745.0,1741.0,-4.0,0.0,0.0,,,,,,
2015,2,25,3,OO,6387,N951SW,SFO,PSP,2115.0,2112.0,-3.0,13.0,2125.0,87.0,75.0,57.0,421.0,2222.0,5.0,2242.0,2227.0,-15.0,0.0,0.0,,,,,,
2015,1,11,7,OO,4996,N930SW,ORD,MSN,1521.0,1521.0,0.0,18.0,1539.0,57.0,47.0,26.0,108.0,1605.0,3.0,1618.0,1608.0,-10.0,0.0,0.0,,,,,,
2015,2,10,2,EV,3950,N24128,DEN,TUL,1749.0,1827.0,38.0,11.0,1838.0,94.0,82.0,67.0,541.0,2045.0,4.0,2023.0,2049.0,26.0,0.0,0.0,,0.0,0.0,26.0,0.0,0.0
2015,1,3,6,WN,1296,N401WN,CAK,BOS,820.0,824.0,4.0,33.0,857.0,110.0,109.0,70.0,549.0,1007.0,6.0,1010.0,1013.0,3.0,0.0,0.0,,,,,,
2015,1,27,2,EV,4431,N17560,EWR,MCI,1612.0,,,,,205.0,,,1092.0,,,1837.0,,,0.0,1.0,C,,,,,
2015,2,17,2,DL,1208,N320US,PDX,SLC,1341.0,1340.0,-1.0,8.0,1348.0,99.0,93.0,80.0,630.0,1608.0,5.0,1620.0,1613.0,-7.0,0.0,0.0,,,,,,
2015,1,14,3,DL,2220,N977AT,ATL,OKC,1340.0,1338.0,-2.0,11.0,1349.0,141.0,129.0,114.0,761.0,1443.0,4.0,1501.0,1447.0,-14.0,0.0,0.0,,,,,,
2015,2,11,3,WN,4363,N218WN,SJU,MCO,1420.0,1418.0,-2.0,15.0,1433.0,195.0,192.0,167.0,1189.0,1620.0,10.0,1635.0,1630.0,-5.0,0.0,0.0,,,,,,
2015,2,12,4,UA,705,N810UA,SFO,ORD,1635.0,1847.0,132.0,16.0,1903.0,246.0,243.0,217.0,1846.0,40.0,10.0,2241.0,50.0,129.0,0.0,0.0,,0.0,0.0,9.0,120.0,0.0
2015,2,8,7,AA,1148,N3ADAA,SJU,DFW,856.0,902.0,6.0,10.0,912.0,329.0,318.0,296.0,2165.0,1208.0,12.0,1225.0,1220.0,-5.0,0.0,0.0,,,,,,
2015,2,8,7,OO,5620,N794SK,DFW,LAX,1619.0,1614.0,-5.0,25.0,1639.0,213.0,200.0,171.0,1235.0,1730.0,4.0,1752.0,1734.0,-18.0,0.0,0.0,,,,,,
2015,1,9,5,OO,4671,N613SK,SLC,DEN,934.0,931.0,-3.0,23.0,954.0,97.0,101.0,66.0,391.0,1100.0,12.0,1111.0,1112.0,1.0,0.0,0.0,,,,,,
